,manuf_id,product_id,product_rev,tech,band,subband,sig_path,value,unit,pa_state,bw,pwr,vcc,icq
76,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,26,5000,26715
77,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,25,4500,26715
78,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,24,4300,26730
79,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,23,3800,24682
80,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,22,3600,22633
81,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,21,3400,22633
82,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,20,3200,22633
83,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,19,3000,22633
84,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,18,2800,20584
85,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,17,2900,20584
86,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,16,2700,20584
87,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,15,2500,20584
88,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,14,2300,20584
89,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,13,2100,20584
90,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,12,1900,20584
91,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,11,1900,20584
92,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,10,1900,20584
93,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,9,1900,20584
94,535,510,200,NR5GSUB6,77,0,0,627667,channel,3,100,8,1900,20584
95,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,26,4500,17512
96,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,25,4500,17512
97,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,24,4300,17512
98,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,23,3800,17512
99,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,22,3600,17512
100,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,21,3400,17512
101,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,20,3200,17512
102,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,19,3000,16488
103,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,18,2800,16488
104,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,17,2900,16488
105,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,16,2700,16488
106,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,15,2500,16488
107,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,14,2300,16488
108,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,13,2100,16488
109,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,12,1900,16488
110,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,11,1900,16488
111,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,10,1900,16488
112,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,9,1900,16488
113,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,20,8,1900,16488
114,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,26,4500,26730
115,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,25,4500,26730
116,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,24,4300,26730
117,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,23,3800,24682
118,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,22,3600,22633
119,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,21,3400,22633
120,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,20,3200,22633
121,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,19,3000,22633
122,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,18,2800,20584
123,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,17,2900,20584
124,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,16,2700,20584
125,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,15,2500,20584
126,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,14,2300,20584
127,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,13,2100,20584
128,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,12,1900,20584
129,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,11,1900,20584
130,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,10,1900,20584
131,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,9,1900,20584
132,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,40,8,1900,20584
133,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,26,4500,17512
134,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,25,4500,17512
135,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,24,4300,17512
136,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,23,3800,17512
137,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,22,3600,17512
138,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,21,3400,17512
139,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,20,3200,17512
140,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,19,3000,16488
141,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,18,2800,16488
142,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,17,2900,16488
143,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,16,2700,16488
144,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,15,2500,16488
145,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,14,2300,16488
146,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,13,2100,16488
147,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,12,1900,16488
148,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,11,1900,16488
149,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,10,1900,16488
150,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,9,1900,16488
151,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,50,8,1900,16488
152,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,26,4500,26730
153,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,25,4500,26730
154,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,24,4300,26730
155,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,23,3800,24682
156,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,22,3600,22633
157,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,21,3400,22633
158,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,20,3200,22633
159,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,19,3000,22633
160,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,18,2800,20584
161,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,17,2900,20584
162,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,16,2700,20584
163,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,15,2500,20584
164,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,14,2300,20584
165,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,13,2100,20584
166,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,12,1900,20584
167,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,11,1900,20584
168,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,10,1900,20584
169,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,9,1900,20584
170,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,80,8,1900,20584
171,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,26,4500,26730
172,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,25,4500,26730
173,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,24,4300,26730
174,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,23,3800,24682
175,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,22,3600,22633
176,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,21,3400,22633
177,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,20,3200,22633
178,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,19,3000,22633
179,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,18,2800,20584
180,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,17,2900,20584
181,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,16,2700,20584
182,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,15,2500,20584
183,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,14,2300,20584
184,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,13,2100,20584
185,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,12,1900,20584
186,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,11,1900,20584
187,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,10,1900,20584
188,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,9,1900,20584
189,535,510,200,NR5GSUB6,77,0,0,627667,channel,2,100,8,1900,20584
190,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,17,2900,12790
191,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,16,2700,12790
192,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,15,2500,12790
193,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,14,2300,12790
194,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,13,2200,12790
195,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,12,2000,12790
196,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,11,1800,12790
197,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,10,1600,12790
198,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,9,1400,12790
199,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,8,1300,12678
200,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,7,1300,12676
201,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,6,1200,12674
202,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,5,1200,12662
203,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,4,1100,12630
204,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,3,1100,11338
205,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,2,1100,11338
206,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,1,900,11338
207,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,0,900,11338
208,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,20,-1,900,11338
209,535,510,200,NR5GSUB6,77,0,0,627667,channel,1,40,17,2800,20616
