,pwr,vcc,icq
319,4,1000,18500
320,3,1000,18500
321,2,1000,18500
322,1,1000,18500
323,0,1000,18500
324,-1,1000,18500
325,-2,1000,18500
326,-3,1000,18500
327,-4,700,18500
328,-5,700,18500
329,-6,700,18500
330,-7,700,18500
331,-8,700,18500
332,-20,700,18500
333,6,1000,34484
334,5,1000,34484
335,4,1000,34484
336,3,1000,34484
337,2,1000,18500
338,1,1000,18500
339,0,1000,18500
340,-1,1000,18500
341,-2,1000,18500
342,-3,1000,18500
343,-4,700,18500
344,-5,700,18500
345,-6,700,18500
346,-7,700,18500
347,-8,700,18500
348,-20,700,18500
349,6,1000,18500
350,5,1000,18500
351,4,1000,18500
352,3,1000,18500
353,2,1000,18500
354,1,1000,18500
355,0,1000,18500
356,-1,1000,18500
357,-2,1000,18500
358,-3,1000,18500
359,-4,700,18500
360,-5,700,18500
361,-6,700,18500
362,-7,700,18500
363,-8,700,18500
364,-20,700,18500
365,26,4800,26732
366,25,4500,26716
367,24,4300,26717
368,23,3800,24667
369,22,3600,24667
370,21,3500,22619
371,20,3400,20570
372,19,3300,20570
373,18,3200,14426
374,17,3100,14426
375,16,2900,14426
376,15,2500,14426
377,14,2300,14426
378,13,2100,14426
379,12,1900,14426
380,11,1900,14426
381,10,1900,14426
382,9,1900,14426
383,8,1900,14426
384,26,4800,26732
385,25,4500,26716
386,24,4300,26717
387,23,4100,24667
388,22,3800,24667
389,21,3400,22619
390,20,3200,20570
391,19,3000,20570
392,18,2800,14426
393,17,2900,14426
394,16,2700,14426
395,15,2500,14426
396,14,2300,14426
397,13,2100,14426
398,12,1900,14426
399,11,1900,14426
400,10,1900,14426
401,9,1900,14426
402,8,1900,14426
403,26,4800,26732
404,25,4500,26716
405,24,4300,26717
406,23,3800,24667
407,22,3600,24667
408,21,3500,22619
409,20,3400,20570
410,19,3300,20570
411,18,3200,14426
412,17,3100,14426
413,16,2900,14426
414,15,2500,14426
415,14,2300,14426
416,13,2100,14426
417,12,1900,14426
418,11,1900,14426
419,10,1900,14426
420,9,1900,14426
421,8,1900,14426
422,26,4800,26732
423,25,4500,26716
424,24,4300,26717
425,23,4100,24667
426,22,3800,24667
427,21,3400,22619
428,20,3200,20570
429,19,3000,20570
430,18,2800,14426
431,17,2900,14426
432,16,2700,14426
433,15,2500,14426
434,14,2300,14426
435,13,2100,14426
436,12,1900,14426
437,11,1900,14426
438,10,1900,14426
439,9,1900,14426
440,8,1900,14426
441,26,4800,26732
442,25,4500,26716
